FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_ferroviario_AN070.333,333,0,POINT (-62.224335518999965 -35.78885393999997),Estación El Recado,Estación,El Recado,4,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.334,334,0,POINT (-62.234799470999974 -35.50325785599995),Estación Ingenio Beaugey,Estación,Ingenio Beaugey,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.335,335,0,POINT (-61.74187022099994 -35.73121876999994),Estación Chiclana,Estación,Chiclana,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.336,336,0,POINT (-62.226911315999985 -35.34564318899993),Estación Timote,Estación,Timote,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.337,337,0,POINT (-60.89810315099999 -35.43749071499997),Estación 9 de Julio Norte,Estación,9 de Julio Norte,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.338,338,0,POINT (-60.55881249399994 -35.736395897999955),Estación Agustín Mosconi,Estación,Agustín Mosconi,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.339,339,0,POINT (-60.166705785999966 -35.42447646399995),Estación 25 de Mayo,Estación,25 de Mayo,6,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.340,340,0,POINT (-60.56046683899996 -35.55567662599998),Estación Morea,Estación,Morea,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.341,341,0,POINT (-60.08203443199994 -35.16108118699998),Estación Gobernador Ugarte,Estación,Gobernador Ugarte,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.342,342,0,POINT (-60.21943600399999 -35.12430288199994),Estación Plá,Estación,Plá,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.343,343,0,POINT (-60.71825005399995 -35.43831321299996),Estación Patricios,Estación,Patricios,2,IGN/Ministerio de Transporte de la Nación,IGN
