FID,gid,entidad,geom,fna,gna,nam,fun,atv,fdc,sag
puntos_de_transporte_aereo_GB001.95,95,1,POINT (-57.981272686999944 -29.778888562999953),Aeródromo Curuzú Cuatiá,Aeródromo,Curuzú Cuatiá,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.96,96,1,POINT (-58.24913963299997 -28.46996886599993),Aeródromo Rincón de Luna,Aeródromo,Rincón de Luna,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.97,97,1,POINT (-55.98521917399995 -28.066566574999968),,,,-1,9,IGN,IGN
puntos_de_transporte_aereo_GB001.98,98,1,POINT (-59.22020966799994 -29.104946525999935),Aeródromo Goya,Aeródromo,Goya,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.99,99,1,POINT (-59.24862216599996 -29.171736240999962),Aeroclub Goya,Aeroclub,Goya,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.100,100,1,POINT (-58.084434526999985 -29.22449947299998),Aeródromo Mercedes,Aeródromo,Mercedes,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.101,101,1,POINT (-63.005185482999934 -31.422674324999946),Aeródromo Arcor,Aeródromo,Arcor,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.103,103,1,POINT (-64.37946223999995 -30.379658937999977),Aeródromo Deán Funes,Aeródromo,Deán Funes,2,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.104,104,1,POINT (-61.77807382299994 -36.58405132699994),Aeródromo Daireaux,Aeródromo,Daireaux,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.105,105,1,POINT (-59.90387010999996 -35.977677024999934),Aeródromo General Alvear,Aeródromo,General Alvear,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.106,106,1,POINT (-61.91495109599998 -34.79343927999997),Aeródromo General Pinto,Aeródromo,General Pinto,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.107,107,1,POINT (-64.07925616399996 -30.98827384899994),Aeródromo Jesús María,Aeródromo,Jesús María,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.108,108,1,POINT (-64.15922142299996 -31.213253331999965),Aeródromo Brigadier Mayor Juan Ignacio San Martín,Aeródromo,Brigadier Mayor Juan Ignacio San Martín,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.109,109,1,POINT (-64.52636625099996 -31.00962729899993),Aeródromo La Cumbre,Aeródromo,La Cumbre,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.110,110,1,POINT (-62.02540681199997 -30.681687404999934),Aeródromo Morteros,Aeródromo,Morteros,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.111,111,1,POINT (-63.55021897399996 -32.05810698399995),Aeródromo Oliva,Aeródromo,Oliva,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.112,112,1,POINT (-59.034211219999975 -34.68038043399997),Aeródromo Asociación Argentina de Aviación Experimental,Aeródromo,Asociación Argentina de Aviación Experimental,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.113,113,1,POINT (-61.01704830299997 -34.976095631999954),Aeródromo Los Toldos,Aeródromo,Los Toldos,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.114,114,1,POINT (-61.74508651299993 -36.313715739999964),Aeródromo Henderson,Aeródromo,Henderson,6,9,IGN/ANAC,IGN
